mun,gini_mean,year,pto,trat_2
Puruandiro,0.36153729,2004,0,0
Churumuco,0.074074074,2004,0,0
Tlalpujahua,0.312475963,2004,0,0
Tepalcatepec,0.363478281,2004,0,0
Buenavista,0.29624619,2004,0,0
Pajacuaran,0.196669121,2004,0,0
Zinapecuaro,0.399635496,2004,0,1
Querendaro,0.193896185,2004,0,0
Indaparapeo,0.227649786,2004,0,0
Ocampo,0.074720049,2004,0,1
Vista Hermosa,0.304659466,2004,0,0
Tanhuato,0.232126822,2004,0,0
Brisenas,0.200021749,2004,0,0
Zinaparo,0.018283948,2004,0,0
Churintzio,0.132711023,2004,0,0
Numaran,0.322858461,2004,0,0
Maravatio,0.333734672,2004,0,0
Contepec,0.323934594,2004,0,0
Huetamo,0.312035419,2004,0,0
San Lucas,0.253347217,2004,0,0
Tangancicuaro,0.277711106,2004,0,1
Purepero,0.290387864,2004,0,1
Tlazazalca,0.100119227,2004,0,0
Cojumatlan de Regules,0.355853135,2004,0,0
Irimbo,0.106510565,2004,0,0
Aporo,0.071428571,2004,0,0
Tuxpan,0.340928099,2004,0,1
Senguio,0.047505951,2004,0,0
Charo,0.153372501,2004,0,0
Alvaro Obregon,0.440630381,2004,0,0
Chavinda,0.210067152,2004,0,0
Tangamandapio,0.17254318,2004,0,1
Ziracuaretiro,0.383689011,2004,0,1
Nuevo Parangaricutiro,0.209140973,2004,0,1
Coeneo,0.21240656,2004,0,0
Jimenez,0.293308446,2004,0,0
Yurecuaro,0.277601681,2004,0,0
Nahuatzen,0.100435836,2004,0,0
Ecuandureo,0.066316686,2004,0,0
Villamar,0.347872008,2004,0,0
Coalcoman,0.330538055,2004,0,0
Tiquicheo,0.113284854,2004,0,0
Tumbiscatio,0.009920635,2004,0,0
Tuzantla,0.294549329,2004,0,0
Aguililla,0.123466428,2004,0,0
Huaniqueo,0.173133586,2004,0,0
Ixtlan,0.12406742,2004,0,0
Tancitaro,0.258494719,2004,0,1
Caracuaro,0.130340019,2004,0,0
Cuitzeo,0.37961315,2004,0,0
Chucandiro,0.112342529,2004,0,0
Santa Ana Maya,0.210015241,2004,0,0
Huandacareo,0.267573345,2004,0,0
Copandaro,0.008928571,2004,0,0
Marcos Castellanos,0.204588613,2004,0,0
Juarez,0.172221507,2004,0,1
Coahuayana,0.362007003,2004,0,0
Aquila,0.381197881,2004,0,0
Apatzingan,0.38214155,2005,0,1
Arteaga,0.313773554,2005,0,0
Cotija,0.302496331,2005,0,1
Charapan,0.265111519,2005,0,0
Cheran,0.206901959,2005,0,0
Chilchota,0.178785589,2005,0,1
Gabriel Zamora,0.272536992,2005,0,0
Hidalgo,0.407973998,2005,0,1
Jacona,0.403057583,2005,0,0
Jiquilpan,0.358879963,2005,0,0
Jungapeo,0.284222425,2005,0,1
La Piedad,0.390979584,2005,0,0
Lazaro Cardenas,0.435073723,2005,0,0
Los Reyes,0.347862082,2005,0,1
Morelia,0.446560016,2005,0,0
Mugica,0.323457031,2005,0,0
Nocupetaro,0.031022409,2005,0,0
Nuevo Urecho,0.120805147,2005,0,0
Paracuaro,0.137526545,2005,0,0
Paracho,0.370039564,2005,0,0
Patzcuaro,0.404851296,2005,0,1
Periban,0.197299202,2005,0,1
Quiroga,0.204308385,2005,0,1
Sahuayo,0.344134387,2005,0,0
Tacambaro,0.374884747,2005,0,1
Taretan,0.451950444,2005,0,1
Tinguindin,0.337065647,2005,0,1
Tocumbo,0.465705778,2005,0,1
Turicato,0.070708862,2005,0,1
Uruapan,0.419465317,2005,0,1
Venustiano Carranza,0.219984363,2005,0,0
Zacapu,0.421745494,2005,0,0
Zamora,0.401229185,2005,0,0
Zitacuaro,0.410763899,2005,0,1
Tarimbaro,0.30271049,2005,0,1
Angangueo,0.094533123,2005,0,0
Acuitzio,0.118010154,2005,0,1
Ario,0.303170603,2005,0,1
Erongaricuaro,0.173637174,2005,0,1
La Huacana,0.409308563,2005,0,0
Huiramba,0.016666667,2005,0,1
Lagunillas,0.351839933,2005,0,1
Madero,0.222718725,2005,0,1
Salvador Escalante,0.281191425,2005,0,1
Tingambato,0.2886931,2005,0,1
Tzintzuntzan,0.133325972,2005,0,1
Angamacutiro,0.139569558,2005,0,0
Jose Sixto Verduzco,0.163615645,2005,0,0
Morelos,0.121713683,2005,0,0
Panindicuaro,0.12977807,2005,0,0
Penjamillo,0.389995041,2005,0,0
Puruandiro,0.338970639,2005,0,0
Churumuco,0.024692954,2005,0,0
Tlalpujahua,0.312888359,2005,0,0
Tepalcatepec,0.318818006,2005,0,0
Buenavista,0.260346855,2005,0,0
Pajacuaran,0.177235975,2005,0,0
Zinapecuaro,0.352251858,2005,0,1
Querendaro,0.163640696,2005,0,0
Indaparapeo,0.176908246,2005,0,0
Ocampo,0.092482574,2005,0,1
Vista Hermosa,0.266656654,2005,0,0
Tanhuato,0.246385899,2005,0,0
Brisenas,0.20630078,2005,0,0
Zinaparo,0,2005,0,0
Churintzio,0.117764769,2005,0,0
Numaran,0.331604781,2005,0,0
Maravatio,0.33664355,2005,0,0
Contepec,0.264468818,2005,0,0
Huetamo,0.326888499,2005,0,0
San Lucas,0.297951378,2005,0,0
Tangancicuaro,0.239716842,2005,0,1
Purepero,0.25984977,2005,0,1
Tlazazalca,0.087900707,2005,0,0
Cojumatlan de Regules,0.364225215,2005,0,0
Irimbo,0.11603497,2005,0,0
Aporo,0.012673656,2005,0,0
Tuxpan,0.331789015,2005,0,1
Senguio,0.036682737,2005,0,0
Charo,0.12935989,2005,0,0
Alvaro Obregon,0.411985719,2005,0,0
Chavinda,0.218218431,2005,0,0
Tangamandapio,0.1443909,2005,0,1
Ziracuaretiro,0.32538897,2005,0,1
Nuevo Parangaricutiro,0.200769192,2005,0,1
Coeneo,0.108163773,2005,0,0
Jimenez,0.227503626,2005,0,0
Yurecuaro,0.272006575,2005,0,0
Nahuatzen,0.101124519,2005,0,0
Ecuandureo,0.187196083,2005,0,0
Villamar,0.313471079,2005,0,0
Coalcoman,0.2882836,2005,0,0
Tiquicheo,0.120752107,2005,0,0
Tumbiscatio,0.138888889,2005,0,0
Tuzantla,0.336195728,2005,0,0
Aguililla,0.147824978,2005,0,0
Huaniqueo,0.076356009,2005,0,0
Ixtlan,0.02580828,2005,0,0
Tancitaro,0.25067986,2005,0,1
Caracuaro,0.04736507,2005,0,0
Cuitzeo,0.336843207,2005,0,0
Chucandiro,0.047513829,2005,0,0
Santa Ana Maya,0.164410113,2005,0,0
Huandacareo,0.168792497,2005,0,0
Copandaro,0.014814815,2005,0,0
Marcos Castellanos,0.187590165,2005,0,0
Juarez,0.136975624,2005,0,1
Coahuayana,0.376396097,2005,0,0
Aquila,0.371670694,2005,0,0
Apatzingan,0.381210516,2006,0,1
Arteaga,0.316262615,2006,0,0
Cotija,0.333873004,2006,0,1
Charapan,0.27724485,2006,0,0
Cheran,0.207789341,2006,0,0
Chilchota,0.16571917,2006,0,1
Gabriel Zamora,0.26821404,2006,0,0
Hidalgo,0.410483673,2006,0,1
Jacona,0.394385108,2006,0,0
Jiquilpan,0.360310002,2006,0,0
Jungapeo,0.285943536,2006,0,1
La Piedad,0.393418387,2006,0,0
Lazaro Cardenas,0.43354634,2006,0,0
Los Reyes,0.368109826,2006,0,1
Morelia,0.438455461,2006,0,0
Mugica,0.331811763,2006,0,0
Nocupetaro,0.11984127,2006,0,0
Nuevo Urecho,0.113636826,2006,0,0
Paracuaro,0.092986287,2006,0,0
Paracho,0.367601527,2006,0,0
Patzcuaro,0.403625914,2006,0,1
Periban,0.21439894,2006,0,1
Quiroga,0.185120935,2006,0,1
Sahuayo,0.338766906,2006,0,0
Tacambaro,0.38827796,2006,0,1
Taretan,0.457968061,2006,0,1
Tinguindin,0.360666539,2006,0,1
Tocumbo,0.47329069,2006,0,1
Turicato,0.070573628,2006,0,1
Uruapan,0.416023867,2006,0,1
Venustiano Carranza,0.24093452,2006,0,0
Zacapu,0.418115977,2006,0,0
Zamora,0.402374478,2006,0,0
Zitacuaro,0.40580185,2006,0,1
Tarimbaro,0.290000399,2006,0,1
Angangueo,0.134007251,2006,0,0
Acuitzio,0.141743529,2006,0,1
Ario,0.292690392,2006,0,1
Erongaricuaro,0.173720691,2006,0,1
La Huacana,0.437488905,2006,0,0
Huiramba,0.144882013,2006,0,1
Lagunillas,0.35179897,2006,0,1
Madero,0.217076632,2006,0,1
Salvador Escalante,0.285727523,2006,0,1
Tingambato,0.293039017,2006,0,1
Tzintzuntzan,0.170948963,2006,0,1
Angamacutiro,0.205788649,2006,0,0
Jose Sixto Verduzco,0.178075473,2006,0,0
Morelos,0.145535683,2006,0,0
Panindicuaro,0.143910284,2006,0,0
Penjamillo,0.396189202,2006,0,0
Puruandiro,0.349036581,2006,0,0
Churumuco,0.169047619,2006,0,0
Tlalpujahua,0.317790211,2006,0,0
Tepalcatepec,0.32803735,2006,0,0
Buenavista,0.257876549,2006,0,0
Pajacuaran,0.172601709,2006,0,0
Zinapecuaro,0.306142054,2006,0,1
Querendaro,0.240583053,2006,0,0
Indaparapeo,0.132093492,2006,0,0
Ocampo,0.141568508,2006,0,1
Vista Hermosa,0.237269861,2006,0,0
Tanhuato,0.25189275,2006,0,0
Brisenas,0.265218726,2006,0,0
Zinaparo,0,2006,0,0
Churintzio,0.110928737,2006,0,0
Numaran,0.304804006,2006,0,0
Maravatio,0.342728868,2006,0,0
Contepec,0.216874752,2006,0,0
Huetamo,0.341221652,2006,0,0
San Lucas,0.290637774,2006,0,0
Tangancicuaro,0.235395832,2006,0,1
Purepero,0.254589952,2006,0,1
Tlazazalca,0.143697179,2006,0,0
Cojumatlan de Regules,0.38897041,2006,0,0
Irimbo,0.118422251,2006,0,0
Aporo,0.101606223,2006,0,0
Tuxpan,0.332069358,2006,0,1
Senguio,0.052803235,2006,0,0
Charo,0.141763995,2006,0,0
Alvaro Obregon,0.391731543,2006,0,0
Chavinda,0.238527794,2006,0,0
Tangamandapio,0.165049,2006,0,1
Ziracuaretiro,0.328851497,2006,0,1
Nuevo Parangaricutiro,0.190309274,2006,0,1
Coeneo,0.108002209,2006,0,0
Jimenez,0.217566326,2006,0,0
Yurecuaro,0.282952463,2006,0,0
Nahuatzen,0.178118726,2006,0,0
Ecuandureo,0.212394243,2006,0,0
Villamar,0.321954703,2006,0,0
Coalcoman,0.296975162,2006,0,0
Tiquicheo,0.163021994,2006,0,0
Tumbiscatio,0.140277778,2006,0,0
Tuzantla,0.342781915,2006,0,0
Aguililla,0.155770318,2006,0,0
Huaniqueo,0.279179643,2006,0,0
Ixtlan,0.054868289,2006,0,0
Tancitaro,0.248471902,2006,0,1
Caracuaro,0.146397744,2006,0,0
Cuitzeo,0.344604026,2006,0,0
Chucandiro,0.043584833,2006,0,0
Santa Ana Maya,0.165698738,2006,0,0
Huandacareo,0.168114479,2006,0,0
Copandaro,0.073889237,2006,0,0
Tzitzio,0,2006,0,0
Marcos Castellanos,0.203171783,2006,0,0
Juarez,0.099768342,2006,0,1
Coahuayana,0.370538522,2006,0,0
Aquila,0.378283503,2006,0,0
Apatzingan,0.383884285,2007,0,1
Arteaga,0.324222502,2007,0,0
Cotija,0.32985277,2007,0,1
Charapan,0.319535354,2007,0,0
Cheran,0.195808624,2007,0,0
Chilchota,0.165203727,2007,0,1
Gabriel Zamora,0.283384261,2007,0,0
Hidalgo,0.404158368,2007,0,1
Jacona,0.394884836,2007,0,0
Jiquilpan,0.366079934,2007,0,0
Jungapeo,0.269761421,2007,0,1
La Piedad,0.393313262,2007,0,0
Lazaro Cardenas,0.436421381,2007,0,0
Los Reyes,0.376545801,2007,0,1
Morelia,0.436988228,2007,0,0
Mugica,0.352870943,2007,0,0
Nocupetaro,0.101686508,2007,0,0
Nuevo Urecho,0.145220596,2007,0,0
Paracuaro,0.077944887,2007,0,0
Paracho,0.368578455,2007,0,0
Patzcuaro,0.403385182,2007,0,1
Periban,0.238381534,2007,0,1
Quiroga,0.187459835,2007,0,1
Sahuayo,0.3400228,2007,0,0
Tacambaro,0.383835816,2007,0,1
Taretan,0.448737968,2007,0,1
Tinguindin,0.367064006,2007,0,1
Tocumbo,0.476514674,2007,0,1
Turicato,0.095167677,2007,0,1
Uruapan,0.419549077,2007,0,1
Venustiano Carranza,0.2459827,2007,0,0
Zacapu,0.416787468,2007,0,0
Zamora,0.405242616,2007,0,0
Zitacuaro,0.409238059,2007,0,1
Tarimbaro,0.283034258,2007,0,1
Angangueo,0.147309753,2007,0,0
Acuitzio,0.116332226,2007,0,1
Ario,0.301766836,2007,0,1
Erongaricuaro,0.182240248,2007,0,1
La Huacana,0.48513281,2007,0,0
Huiramba,0.143167751,2007,0,1
Lagunillas,0.35405723099999997,2007,0,1
Madero,0.216346051,2007,0,1
Salvador Escalante,0.278111337,2007,0,1
Tingambato,0.317553322,2007,0,1
Tzintzuntzan,0.172656903,2007,0,1
Angamacutiro,0.229849314,2007,0,0
Jose Sixto Verduzco,0.199963742,2007,0,0
Morelos,0.125447875,2007,0,0
Panindicuaro,0.181698204,2007,0,0
Penjamillo,0.385222753,2007,0,0
Puruandiro,0.345190748,2007,0,0
Churumuco,0.141879719,2007,0,0
Tlalpujahua,0.326263608,2007,0,0
Tepalcatepec,0.343684051,2007,0,0
Buenavista,0.238297707,2007,0,0
Pajacuaran,0.174825852,2007,0,0
Zinapecuaro,0.271449987,2007,0,1
Querendaro,0.226816412,2007,0,0
Indaparapeo,0.229606632,2007,0,0
Ocampo,0.157816335,2007,0,1
Vista Hermosa,0.231530653,2007,0,0
Tanhuato,0.28154569,2007,0,0
Brisenas,0.227828158,2007,0,0
Zinaparo,0,2007,0,0
Churintzio,0.111703722,2007,0,0
Numaran,0.309328193,2007,0,0
Maravatio,0.356772266,2007,0,0
Contepec,0.227539886,2007,0,0
Huetamo,0.355217938,2007,0,0
San Lucas,0.34256278,2007,0,0
Tangancicuaro,0.230688075,2007,0,1
Purepero,0.252790817,2007,0,1
Tlazazalca,0.271693687,2007,0,0
Cojumatlan de Regules,0.425522522,2007,0,0
Irimbo,0.122655136,2007,0,0
Aporo,0.160372922,2007,0,0
Tuxpan,0.302648209,2007,0,1
Senguio,0.095992808,2007,0,0
Charo,0.185112191,2007,0,0
Alvaro Obregon,0.39094914,2007,0,0
Chavinda,0.234237798,2007,0,0
Tangamandapio,0.166379214,2007,0,1
Ziracuaretiro,0.322614422,2007,0,1
