cve,year,se1_0,se1_1,se1_3,se1_4,se1_5,se1_6,se1_7,se1_8,se1_9,rs_w1,rs_w2,rs_w3,rs_w4,rs_w5,rs_w6,rs_w7,rs_w8,rs_w9,rs_w10,rs_w11,rs_w12,rs_w13,rs_w14,rs_w15,rs_w16,rs_w17,rs_w18,rs_w19,rs_w20,rs_w21,rs_w22,rs_w23,rs_w24,rs_w25,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,mun,trat,pto
N97,2006,0,12,2583,203,0,239,0,57,96,119,1400,752,364,176,84,106,54,14,30,22,26,4,38,2,16,0,0,0,0,0,3,0,0,0,109,294,1547,921,319,0,0,Tlalpujahua,0,0
O27,2006,0,0,420,3,0,134,17,14,0,4,439,73,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,131,399,0,0,0,0,Ocampo,1,0
O34,2006,40,32,1151,676,0,4008,424,2331,847,98,5178,1661,813,546,284,236,199,78,89,30,44,67,35,10,28,4,16,14,0,0,16,23,0,60,998,2316,4385,1810,0,0,0,Maravatio,0,0
O35,2006,0,0,555,61,8,275,0,332,116,46,816,252,140,38,33,28,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,202,514,550,0,0,0,Contepec,0,0
O36,2006,150,740,224,212,0,2245,113,808,667,67,2689,887,422,319,243,150,68,81,44,19,44,53,12,18,16,0,10,11,4,0,2,9,5,6,455,1230,2004,1470,0,0,0,Huetamo,0,0
O37,2006,433,0,150,87,0,478,69,58,0,39,755,157,148,90,55,11,2,10,2,7,0,0,0,7,0,0,0,0,0,0,0,12,0,0,47,217,649,173,132,57,0,San Lucas,0,0
O44,2006,0,48,307,70,0,197,16,22,0,0,439,189,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,333,272,0,0,0,0,Irimbo,0,0
O45,2006,0,0,117,4,0,0,48,0,0,18,133,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,98,0,0,0,0,Aporo,0,0
O46,2006,824,0,171,179,147,835,10,375,283,285,1551,386,216,117,71,41,41,31,17,33,16,6,12,8,5,2,0,0,2,4,0,0,0,0,403,697,1312,412,0,0,0,Tuxpan,1,0
O47,2006,24,0,42,0,0,219,0,0,74,26,337,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,102,241,0,0,0,0,Senguio,0,0
O64,2006,0,0,12,12,0,212,0,0,0,20,124,88,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,24,116,0,0,0,0,Tiquicheo,0,0
O66,2006,0,0,19,105,0,406,0,166,11,20,287,124,142,36,25,34,8,12,13,2,2,0,4,2,2,4,0,0,3,0,2,0,0,5,110,92,435,70,0,0,0,Tuzantla,0,0
O79,2006,0,0,0,0,0,100,0,0,0,0,10,4,74,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,0,0,0,0,Juarez,1,0
C87,2006,371,1147,9064,7884,2493,17084,8598,11847,6973,756,21424,8882,5820,4522,3804,2851,2551,2272,1872,1677,1290,1045,979,807,654,637,555,497,358,542,280,241,215,763,3856,11166,20872,15700,5292,2248,6006,Lazaro Cardenas,0,0
O80,2006,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Susupuato,0,0
O81,2007,97,0,80,37,183,491,0,288,195,34,483,215,178,152,79,34,43,44,24,29,22,14,8,8,0,0,0,2,6,6,8,2,2,0,92,264,975,40,0,0,0,Coahuayana,0,0
O82,2007,24,984,3,326,0,210,102,62,0,35,344,423,169,105,102,64,43,48,66,61,55,45,30,17,28,29,16,11,9,5,5,9,2,12,53,150,492,1016,0,0,0,Aquila,0,0
C89,2007,2604,632,52537,15351,5626,70593,15331,56698,30610,10996,66420,42077,27031,19332,13362,10669,8963,7290,6100,5625,4855,3825,3409,2746,2395,2163,1731,1557,1492,1214,1170,888,821,3770,15042,38786,78746,61093,22883,13825,17877,Morelia,0,0
C91,2007,0,0,0,9,0,59,0,0,0,22,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,Nocupetaro,0,0
C95,2007,450,0,2621,1357,602,8846,1467,3691,3326,365,11098,3628,1813,1031,711,527,512,490,472,340,222,199,130,144,125,149,75,43,45,44,19,32,21,155,1915,4835,8122,6714,771,0,0,Patzcuaro,1,0
C97,2007,12,0,596,73,0,1169,12,286,370,124,1788,327,136,112,18,11,3,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,983,1142,0,0,0,0,Quiroga,1,0
C99,2007,1612,30,1669,1076,150,3244,212,709,848,467,4436,1455,911,389,174,175,101,188,129,145,81,50,36,20,30,29,38,21,40,14,6,12,1,22,676,1931,3910,2382,333,0,306,Tacambaro,1,0
D04,2007,0,0,446,21,0,419,6,71,59,85,611,49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,224,296,91,290,0,0,Turicato,1,0
D07,2007,373,0,8151,1932,657,8313,1928,4327,1745,595,13383,4305,1981,1353,1089,767,566,413,373,324,225,227,197,229,186,108,137,70,51,63,58,40,54,281,2905,5969,10512,5270,2187,319,0,Zacapu,0,0
D10,2007,365,106,3173,1097,0,2604,223,319,11,285,3157,2106,942,583,219,159,170,63,39,40,20,41,14,10,0,10,0,2,0,0,0,0,0,0,315,1224,4137,1440,782,0,0,Tarimbaro,1,0
K77,2007,62,0,161,13,36,135,0,24,92,50,421,51,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,265,194,0,0,0,0,Acuitzio,1,0
K78,2007,928,0,281,151,0,1725,753,511,474,150,2461,785,467,208,266,114,116,90,34,23,18,2,0,0,0,2,2,0,1,9,0,0,0,0,557,1322,1966,892,0,0,0,Ario,1,0
K79,2007,0,0,297,8,0,119,0,108,108,22,444,136,30,6,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,119,204,264,0,0,0,Erongaricuaro,1,0
K80,2007,82,50,43,186,0,543,24,385,136,41,648,286,122,3,10,14,25,15,31,26,5,2,4,32,20,4,4,1,3,12,3,4,4,58,201,402,734,18,0,0,0,La Huacana,0,0
K81,2007,0,0,13,28,0,12,0,0,36,22,73,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43,30,0,0,0,0,Huiramba,1,0
K82,2007,60,0,0,0,0,198,4,439,6,56,196,59,33,116,63,23,73,57,0,1,23,0,4,11,0,0,0,0,0,0,0,0,0,0,12,84,174,437,0,0,0,Lagunillas,1,0
K83,2007,24,0,406,51,0,332,0,44,0,124,517,116,84,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,336,417,0,0,0,0,Madero,1,0
K84,2007,646,12,1641,90,0,299,0,835,251,199,2221,631,330,101,103,52,38,13,60,12,0,12,4,12,0,8,0,0,0,0,0,0,0,0,172,1002,2029,571,0,0,0,Salvador Escalante,1,0
K86,2007,24,104,34,23,0,123,0,35,0,21,202,58,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,91,220,0,0,0,0,Tzintzuntzan,1,0
L22,2007,0,0,0,6,0,189,0,83,24,22,204,45,15,18,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,135,132,0,0,0,0,Angamacutiro,0,0
L23,2007,90,0,221,9,36,347,41,0,0,22,388,214,94,10,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,279,410,0,0,0,0,Jose Sixto Verduzco,0,0
L24,2007,0,0,0,2,0,131,0,12,12,22,123,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,61,58,0,0,0,0,Morelos,0,0
L25,2007,10,0,218,65,0,510,61,108,95,22,714,207,69,35,10,14,2,6,2,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,183,327,526,31,0,0,0,Panindicuaro,0,0
L27,2007,487,148,1635,555,363,6177,494,1469,1218,186,6318,2502,1155,516,339,244,153,245,167,116,60,59,79,81,41,44,24,15,10,2,10,6,5,15,1301,3791,6057,1179,0,0,0,Puruandiro,0,0
M45,2007,0,0,7,16,0,49,0,4,10,22,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65,0,0,0,0,0,Churumuco,0,0
O24,2007,191,0,409,197,362,1695,542,1042,228,39,3124,742,157,155,39,68,48,54,61,31,14,4,8,10,5,6,7,0,2,0,2,0,0,4,480,1754,1881,443,0,0,0,Zinapecuaro,1,0
O25,2007,24,0,132,12,0,95,0,78,136,72,338,52,12,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,212,176,0,0,0,0,Querendaro,0,0
O26,2007,24,0,182,540,0,230,0,12,56,20,510,175,75,85,51,67,28,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,64,208,232,105,435,0,0,Indaparapeo,0,0
O48,2007,42,128,118,301,0,200,0,28,0,24,433,233,69,42,4,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,240,532,0,0,0,0,Charo,0,0
O49,2007,240,0,200,191,0,442,384,544,71,91,1118,198,91,72,81,147,68,55,29,45,21,18,5,12,5,4,4,2,12,2,0,0,0,2,143,635,1282,0,0,0,0,Alvaro Obregon,0,0
O54,2007,0,0,121,88,0,383,15,67,124,45,599,126,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,395,289,0,0,0,0,Coeneo,0,0
O55,2007,12,78,363,86,0,321,54,117,72,46,658,220,51,64,37,10,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,216,354,339,0,0,0,Jimenez,0,0
O68,2007,12,0,117,85,0,46,60,73,0,34,249,75,12,16,2,3,10,3,3,1,1,0,2,0,0,1,0,0,0,0,3,0,0,0,60,106,227,0,0,0,0,Huaniqueo,0,0
O71,2007,0,0,12,163,0,12,0,1,0,22,34,114,25,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,81,77,0,0,0,Caracuaro,0,0
O72,2007,126,0,134,590,173,911,55,128,186,58,1093,483,194,73,56,59,83,53,51,24,5,2,0,4,9,8,6,6,0,6,2,0,0,5,200,412,1273,373,0,0,0,Cuitzeo,0,0
O73,2007,0,0,86,34,0,0,0,22,0,11,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,38,0,0,0,0,Chucandiro,0,0
O74,2007,16,0,299,0,0,233,0,68,72,6,368,234,34,12,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,236,361,0,0,0,0,Santa Ana Maya,0,0
O75,2007,196,0,283,90,88,422,212,677,181,68,1541,321,95,48,30,3,0,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,204,802,1071,0,0,0,0,Huandacareo,0,0
O76,2007,0,0,0,8,0,19,12,8,0,8,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,0,0,Copandaro,0,0
O77,2007,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tzitzio,0,0
C75,2007,638,0,4042,1513,688,12529,2543,4363,3318,1134,14822,4949,2468,1434,956,723,513,470,456,265,217,163,212,150,163,94,111,54,70,24,27,37,25,106,3002,7788,13639,5205,0,0,0,Apatzingan,1,0
C76,2007,0,0,16,189,1517,21,53,0,0,22,201,74,89,109,92,94,113,108,138,129,98,83,92,82,66,47,37,24,28,22,18,16,8,28,21,118,460,1197,0,0,0,Arteaga,0,0
C78,2007,12,0,12,0,0,40,0,0,36,34,48,16,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,48,0,0,0,0,0,Charapan,0,0
C79,2007,0,0,0,113,0,308,0,24,69,43,219,211,34,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,110,365,0,0,0,0,Cheran,0,0
C81,2007,164,0,576,186,113,498,12,67,57,114,1077,202,100,55,37,23,14,26,26,8,8,0,3,2,0,0,0,0,0,0,0,0,0,0,117,366,1125,65,0,0,0,Gabriel Zamora,0,0
C90,2007,244,0,958,918,379,3056,95,517,307,332,3453,1130,464,312,91,124,89,122,85,57,49,51,17,17,46,14,9,4,11,3,2,2,4,8,563,2012,3221,678,0,0,0,Mugica,0,0
C92,2007,76,0,117,0,0,73,0,0,0,53,186,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,240,0,0,0,0,Nuevo Urecho,0,0
C93,2007,110,0,220,0,77,618,0,143,1,56,1045,51,23,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,253,555,241,0,0,0,Paracuaro,0,0
C94,2007,0,0,1813,106,209,921,43,126,126,363,1723,484,228,114,97,68,64,48,34,52,22,20,0,11,11,10,2,2,0,6,1,4,2,0,238,783,2057,266,0,0,0,Paracho,0,0
D01,2007,1534,0,951,264,0,311,480,190,0,517,744,435,248,204,207,143,143,100,61,40,50,46,18,38,10,14,26,10,12,10,30,0,0,10,188,363,560,1458,801,48,312,Taretan,1,0
D05,2007,4619,234,25982,5877,2788,36344,5934,20387,12093,12715,37581,20553,12118,7484,5162,3586,2760,2229,1701,1309,1137,873,843,682,622,470,376,273,238,257,180,164,185,665,9073,22757,39974,30402,4716,2906,2618,Uruapan,1,0
K85,2007,672,0,3,45,0,110,0,308,0,150,406,281,132,101,32,13,10,0,3,9,11,0,0,0,12,0,0,0,0,0,0,0,0,0,60,301,681,96,0,0,0,Tingambato,1,0
O21,2007,96,154,293,264,353,1807,167,438,162,571,1727,573,402,124,66,50,47,42,44,44,24,12,6,4,3,13,0,0,2,0,0,0,2,0,402,1100,2114,118,0,0,0,Tepalcatepec,0,0
O22,2007,110,0,701,107,286,959,62,263,108,54,1533,590,266,54,50,26,2,19,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,13,263,687,1646,0,0,0,0,Buenavista,0,0
O52,2007,834,0,2,583,0,71,673,647,106,193,1183,751,180,181,196,70,92,12,8,16,26,12,6,0,0,0,0,0,0,0,0,0,0,12,126,319,1632,839,0,0,0,Ziracuaretiro,1,0
O53,2007,1273,0,799,7,0,538,22,451,293,375,2118,529,243,58,67,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,190,702,1798,693,0,0,0,Nuevo Parangaricutiro,1,0
O59,2007,0,0,233,0,0,36,0,113,17,65,259,72,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,161,192,0,0,0,0,Nahuatzen,0,0
O63,2007,0,0,411,63,0,435,54,146,962,106,699,416,298,209,130,108,47,32,30,6,0,0,0,0,10,0,0,0,0,0,2,0,0,0,148,507,588,828,0,0,0,Coalcoman,0,0
O65,2007,18,0,0,44,0,0,12,0,0,40,17,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,29,0,0,0,0,Tumbiscatio,0,0
O67,2007,0,0,412,0,0,169,0,32,96,34,524,92,69,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,102,373,219,0,0,0,Aguililla,0,0
O70,2007,1546,0,757,87,12,666,12,149,139,317,1771,541,342,155,151,45,16,7,9,0,8,3,0,16,0,3,0,0,0,0,6,0,0,0,350,1137,1535,346,0,0,0,Tancitaro,1,0
C77,2007,152,0,437,191,72,1400,69,675,800,111,2062,674,418,151,113,64,23,39,41,8,4,8,4,35,16,0,16,5,4,0,12,0,0,10,429,1063,1658,646,0,0,0,Cotija,1,0
C80,2007,0,0,59,89,0,572,0,43,0,25,506,135,93,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,242,172,223,0,0,0,Chilchota,1,0
C83,2007,1883,0,6520,1509,155,4808,809,2148,1085,472,7628,3551,1988,1207,848,693,508,372,347,221,158,134,138,89,106,68,62,34,42,27,17,38,20,171,1029,3324,6531,5501,1878,654,0,Jacona,0,0
C84,2007,186,8,3198,712,770,2205,182,1256,1645,113,5054,1565,1096,490,482,275,178,182,150,138,128,54,30,58,50,20,19,11,13,8,8,2,4,44,930,2343,4098,2791,0,0,0,Jiquilpan,0,0
C86,2007,1424,81,12830,2913,631,17603,2176,6629,3975,829,21447,8784,4736,2945,2082,1526,985,821,613,600,460,311,351,311,215,195,158,107,113,120,59,84,88,328,3657,9556,20251,12098,2700,0,0,La Piedad,0,0
C88,2007,1958,0,2580,1164,468,7224,969,2963,1864,432,10288,2878,1575,794,591,390,281,350,241,207,129,119,145,133,88,46,60,44,17,38,10,2,22,68,2884,4797,7703,3517,289,0,0,Los Reyes,1,0
C96,2007,1186,7,1691,381,91,1971,209,467,337,78,3863,1239,552,224,176,110,33,20,10,11,6,0,12,0,0,0,18,0,0,0,2,2,4,2,677,1984,3239,440,0,0,0,Periban,1,0
C98,2007,204,0,3040,1416,8,8991,1727,3429,2436,249,11378,3999,1826,1105,641,354,351,249,230,193,94,76,64,90,92,71,54,23,23,18,12,13,12,56,2344,5856,10262,2789,0,0,0,Sahuayo,0,0
D02,2007,667,0,1319,325,0,276,0,260,152,15,1266,609,316,202,142,173,41,76,1,17,22,3,22,12,16,0,18,0,0,0,0,12,0,36,229,546,1138,1086,0,0,0,Tinguindin,1,0
D03,2007,1175,0,1607,142,0,326,84,91,131,369,1226,325,206,141,152,101,58,82,47,40,2,24,14,60,6,18,2,0,22,6,5,12,0,72,247,425,737,138,1481,384,144,Tocumbo,1,0
D06,2007,75,0,382,92,0,384,79,169,173,22,842,260,111,80,1,0,24,0,23,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,236,417,701,0,0,0,0,Venustiano Carranza,0,0
D08,2007,1727,277,16699,4826,1193,32065,5160,14070,11058,2247,34348,15927,8996,5810,4104,2833,2263,1816,1301,1205,900,716,730,645,612,479,405,300,244,199,186,157,164,500,6908,16706,31512,21870,2125,1452,4912,Zamora,0,0
L26,2007,28,0,24,95,158,193,145,0,0,22,306,110,61,2,26,16,2,35,35,14,11,21,4,0,0,0,0,0,0,0,0,0,0,0,69,173,401,0,0,0,0,Penjamillo,0,0
O23,2007,419,0,48,0,76,122,0,24,257,37,511,321,63,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,72,392,143,276,0,0,Pajacuaran,0,0
O28,2007,534,0,326,379,0,906,91,24,141,26,768,712,453,221,137,61,30,8,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,155,479,1077,346,344,0,0,Vista Hermosa,0,0
O29,2007,155,0,67,35,0,467,2,251,52,22,510,294,81,42,38,17,4,2,0,16,0,22,0,1,0,0,0,0,0,1,0,0,0,1,100,301,628,0,0,0,0,Tanhuato,0,0
O30,2007,104,0,18,55,0,316,40,158,87,4,360,270,75,13,11,20,0,6,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68,156,554,0,0,0,0,Brisenas,0,0
O31,2007,0,0,24,0,0,134,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,50,73,0,0,0,0,Zinaparo,0,0
O32,2007,0,0,177,0,24,244,1,0,12,0,383,27,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,209,205,0,0,0,0,Churintzio,0,0
O33,2007,1033,0,184,121,0,589,69,149,72,16,1271,429,173,92,72,57,12,17,5,11,21,5,5,6,3,0,2,0,6,0,0,3,3,8,167,472,1157,421,0,0,0,Numaran,0,0
O39,2007,727,0,586,420,202,1583,201,495,472,149,3255,751,258,31,48,22,32,71,26,28,16,11,2,2,4,2,0,0,0,0,0,0,0,0,598,1403,2523,162,0,0,0,Tangancicuaro,1,0
O40,2007,168,28,2203,251,286,1281,127,528,319,63,3267,794,428,348,98,52,24,32,45,14,8,18,8,0,1,2,0,11,0,0,0,0,0,0,644,1398,2676,473,0,0,0,Purepero,1,0
O41,2007,99,118,0,0,0,166,0,0,82,45,271,80,22,23,24,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,135,307,0,0,0,0,Tlazazalca,0,0
O43,2007,0,0,29,0,0,114,0,155,0,34,129,2,15,25,30,16,9,14,4,10,10,10,2,4,0,2,2,0,0,2,0,0,0,0,80,58,160,0,0,0,0,Cojumatlan de Regules,0,0
O50,2007,48,0,511,99,0,261,110,86,94,0,781,218,58,86,6,42,0,0,0,2,4,0,12,0,0,0,0,0,0,0,0,0,0,0,107,393,403,306,0,0,0,Chavinda,0,0
O51,2007,32,0,535,89,0,402,36,167,174,22,1133,120,86,48,36,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,684,505,0,0,0,0,Tangamandapio,1,0
O56,2007,382,64,902,93,341,2461,83,564,270,60,3314,855,253,147,140,86,51,74,56,34,29,19,18,15,10,7,1,0,8,3,0,0,2,0,594,1579,2392,595,0,0,0,Yurecuaro,0,0
O60,2007,132,0,225,43,60,695,301,36,99,75,1100,185,41,107,8,48,30,8,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,192,149,1250,0,0,0,0,Ecuandureo,0,0
O62,2007,33,0,0,0,0,511,0,59,72,23,275,72,118,73,69,40,14,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,49,169,457,0,0,0,0,Villamar,0,0
O69,2007,222,0,47,6,0,130,0,120,24,20,469,57,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,167,264,0,0,0,0,Ixtlan,0,0
O78,2007,35,0,1200,22,0,438,308,188,166,44,1198,438,291,88,40,98,26,16,40,34,16,8,8,4,0,5,2,2,0,2,2,0,4,13,170,514,811,862,0,0,0,Marcos Castellanos,0,0
C82,2007,187,18,2874,1230,2273,6530,906,2501,3351,282,9501,3359,1697,984,674,487,448,388,310,290,244,222,160,180,143,90,98,50,58,54,44,27,25,56,2566,4912,7193,4117,86,996,0,Hidalgo,1,0
C85,2007,26,0,635,27,0,129,3,68,106,0,353,303,149,73,40,12,31,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,71,311,254,358,0,0,0,Jungapeo,1,0
D09,2007,466,42,5568,1821,687,11638,1629,3686,5003,836,13876,4976,2294,1699,1285,1031,838,710,473,474,363,290,188,146,215,215,90,70,90,58,66,74,56,133,2975,6433,11006,7307,1195,0,0,Zitacuaro,1,0
H44,2007,0,144,24,192,0,127,13,98,192,86,516,196,8,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,32,661,0,0,0,0,Angangueo,0,0
N97,2007,0,12,2899,13,0,247,14,94,170,209,1623,740,303,170,94,127,40,22,36,10,23,15,17,30,12,0,0,0,0,0,0,0,0,0,157,323,1443,1284,242,0,0,Tlalpujahua,0,0
O27,2007,0,0,487,20,0,186,25,24,0,40,543,75,48,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,166,513,0,0,0,0,Ocampo,1,0
O34,2007,36,36,1153,642,0,4279,391,2376,953,144,5284,1606,861,485,359,247,240,127,104,59,59,77,17,45,15,30,12,18,8,18,10,0,18,45,1145,2315,4479,1022,905,0,0,Maravatio,0,0
O35,2007,0,0,588,77,0,294,3,363,128,115,832,281,117,69,9,45,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,188,460,670,0,0,0,Contepec,0,0
O36,2007,98,756,245,154,0,2344,132,832,720,69,2708,868,446,342,233,153,74,98,46,48,53,57,17,21,10,1,2,26,5,0,0,4,9,13,535,1317,1901,1528,0,0,0,Huetamo,0,0
O37,2007,514,0,160,44,0,470,45,60,0,267,552,190,110,91,57,19,4,0,6,0,0,0,1,0,6,0,0,0,0,0,0,11,0,1,45,247,478,308,50,137,28,San Lucas,0,0
O44,2007,0,48,287,48,0,225,17,2,10,1,444,148,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,204,367,0,0,0,0,Irimbo,0,0
O45,2007,0,0,110,0,0,0,48,0,0,34,96,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55,98,0,0,0,0,Aporo,0,0
O46,2007,856,0,184,211,158,741,12,384,283,274,1659,498,86,65,86,27,27,32,25,40,12,8,6,2,2,2,0,0,0,0,0,0,0,0,377,801,1233,418,0,0,0,Tuxpan,1,0
O47,2007,24,0,48,0,0,205,0,0,63,34,282,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,86,221,0,0,0,0,Senguio,0,0
O64,2007,0,0,12,37,0,217,0,0,0,23,126,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,76,111,0,0,0,0,Tiquicheo,0,0
O66,2007,0,0,27,58,0,459,0,149,5,22,298,123,100,58,34,25,34,2,4,4,6,4,0,6,0,0,0,0,0,0,0,0,0,0,94,135,469,0,0,0,0,Tuzantla,0,0
O79,2007,20,0,0,15,0,98,0,0,0,0,30,15,76,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,104,0,0,0,0,Juarez,1,0
O80,2007,0,0,0,41,0,0,0,0,0,0,0,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,0,0,0,0,Susupuato,0,0
C87,2007,284,1206,11550,9051,2625,17465,8985,13005,6962,1100,23102,9177,5837,5180,4122,3349,2735,2487,2125,1850,1500,1162,1058,847,810,605,564,489,642,360,362,322,251,932,3838,11141,23383,15835,7407,3041,6150,Lazaro Cardenas,0,0
S54,2007,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Epitacio Huerta,0,0
O81,2008,120,0,81,122,173,554,0,279,188,39,476,271,234,149,103,37,36,38,41,28,22,22,9,4,2,0,2,2,6,6,4,4,0,4,117,246,1089,65,0,0,0,Coahuayana,0,0
O82,2008,24,1171,0,358,0,206,361,157,0,110,467,527,208,153,179,85,56,58,49,43,57,45,40,36,32,23,26,17,18,8,11,5,4,42,84,135,776,1282,0,0,0,Aquila,0,0
C89,2008,1803,586,53438,16181,6246,72159,15414,63088,32367,11947,69435,41637,28018,19439,14313,11178,9459,7565,6925,6129,5085,4270,3637,3018,2539,2456,1887,1825,1525,1406,1171,1016,1083,4239,14982,38822,80644,62678,25487,16916,20042,Morelia,0,0
C91,2008,0,0,0,41,0,48,0,0,0,22,48,17,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,6,0,0,0,0,Nocupetaro,0,0
C95,2008,391,0,2614,999,655,8482,1392,3761,3857,645,10625,3543,1879,1324,790,435,476,400,391,306,229,173,127,194,160,97,82,38,64,29,29,32,15,103,1905,4874,7540,6168,1657,0,0,Patzcuaro,1,0
C97,2008,8,0,600,139,0,1495,17,366,367,143,2260,353,145,57,32,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,536,1183,1273,0,0,0,0,Quiroga,1,0
