year,mun,mean_workers_year,pob,tasa,log_tasa,gini_mean,pto,trat_2
2003,Coahuayana,860,25294,34.00015814027042,3.5263651757897687,0.37202643,0,0
2003,Aquila,274,44398,6.1714491643767735,1.8199336830094948,0.401604407,0,0
2003,Morelia,21413,1317695,16.25034624856283,2.7881142161526093,0.465159252,0,0
2003,Nocupetaro,179,16686,10.7275560349994,2.3728157613608722,NA,NA,NA
2003,Patzcuaro,1591,158169,10.058861091617194,2.3084539466938123,0.457716837,0,1
2003,Quiroga,571,47189,12.100277607069444,2.493228395072527,0.367545844,0,1
2003,Tacambaro,815,119434,6.823852504312004,1.9204241956990462,0.459167885,0,1
2003,Turicato,280,67532,4.14618255049458,1.4221880435543024,0.257190253,0,1
2003,Zacapu,1382,140581,9.8306314509073065,2.285503169217761,0.499249014,0,0
2003,Tarimbaro,504,93404,5.395914521862019,1.6856420972011399,0.341429876,0,1
2003,Acuitzio,193,20045,9.628336243452232,2.264710442810415,0.198318044,0,1
2003,Ario,252,62598,4.0256877216524485,1.392695758797536,0.383523697,0,1
2003,Erongaricuaro,224,26214,8.545052262149998,2.145352432657686,0.230312076,0,1
2003,La Huacana,622,65722,9.464106387511032,2.247506367896824,0.358086883,0,0
2003,Huiramba,285,14224,20.036557930258716,2.997558501497102,0.083333333,0,1
2003,Madero,208,33168,6.271104679208876,1.8359525240078942,0.28523351,0,1
2003,Salvador Escalante,286,76971,3.7156851281651533,1.3125630832831885,0.334940065,0,1
2003,Angamacutiro,248,26902,9.2186454538696,2.2212281128785922,0.269208871,0,0
2003,Jose Sixto Verduzco,384,49767,7.7159563566218585,2.0432904388094792,0.197331665,0,0
2003,Morelos,183,18965,9.649354073292908,2.266890977700559,0.168691023,0,0
2003,Panindicuaro,241,33754,7.1398945310185455,1.9656980046763624,0.264538194,0,0
2003,Puruandiro,861,134956,6.379857138622959,1.8531457050406255,0.371731343,0,0
2003,Churumuco,259,28637,9.044243461256418,2.202128473696963,0.033333333,0,0
2003,Zinapecuaro,697,92152,7.563590589460891,2.0233460231363187,0.413710736,0,1
2003,Querendaro,241,25813,9.336380893348313,2.23391869249696,0.21245355,0,0
2003,Coeneo,308,41970,7.338575172742435,1.9931447056280749,0.236705118,0,0
2003,Jimenez,92,26940,3.414996288047513,1.2281764060668223,0.336778328,0,0
2003,Caracuaro,197,20255,9.725993581831645,2.2748020520833343,0.066233766,0,0
2003,Cuitzeo,503,52522,9.576939187388144,2.2593580406590466,0.402227923,0,0
2003,Chucandiro,1,12590,0.07942811755361398,-2.532902848056256,0.142687005,0,0
2003,Huandacareo,7,22730,0.3079630444346678,-1.1777754888091385,0.278596102,0,0
2003,Copandaro,2,17080,0.117096018735363,-2.1447610078004784,0.028769841,0,0
2003,Tzitzio,58,21056,2.7545592705167175,1.0132574554035128,0.068181818,0,0
2003,Apatzingan,4854,233142,20.81992948503487,3.035910676295154,0.428508055,0,1
2003,Arteaga,76,45543,1.668752607425949,0.5120764056676433,0.358180748,0,0
2003,Charapan,576,21764,26.465723212644736,3.2758504320722124,0.218105549,0,0
2003,Cheran,916,31923,28.694045045891677,3.356689611546426,0.251870107,0,0
2003,Gabriel Zamora,496,39940,12.418627941912868,2.519197598737258,0.297335983,0,0
2003,Mugica,1315,82716,15.897770685236232,2.76617889092035,0.391705717,0,0
2003,Nuevo Urecho,2,16369,0.12218217362086872,-2.102242121602272,0.217843198,0,0
2003,Paracuaro,351,46682,7.5189580566385334,2.0174275720638706,0.162906981,0,0
2003,Paracho,119,63190,1.8832093685709765,0.6329774323261655,0.42447272,0,0
2003,Taretan,106,25396,4.173885651283666,1.4288474128038635,0.501469433,0,1
2003,Uruapan,5567,548166,10.155682767628784,2.3180334273983747,0.43985462,0,1
2003,Tingambato,606,24566,24.66824065781975,3.2055166129524117,0.325140706,0,1
2003,Tepalcatepec,772,46066,16.758563799765554,2.8189093992440624,0.379479221,0,0
2003,Buenavista,375,76426,4.906707141548687,1.5906030735555317,0.330233876,0,0
2003,Ziracuaretiro,221,26932,8.205851774840339,2.1048475308347183,0.412299612,0,1
2003,Nuevo Parangaricutiro,727,31518,23.066184402563614,3.13836766633364,0.281639471,0,1
